uid|action|jobNo|invoice|dateTime|source|url|deviceType
1245540518330|viewJob|8338295|43125162|2016-07-20 16:59:36|app||1
1245540518330|viewJob|8338295|43125162|2016-07-08 01:04:27|app||1
1245540518330|applyJob|8338295|43125162||app||0
1245540518330|viewJob|5117491|22662550|2016-07-20 12:26:29|app||1
1245540518330|applyJob|5117491|22662550||app||0
1245540518330|viewJob|3269214|84256265|2016-07-15 23:37:00|app||1
1245540518330|viewJob|6593791|70703897|2016-07-13 14:23:23|app||1
1245540518330|applyJob|6593791|70703897||app||0
1245540518330|viewJob|6533627|3707901|2017-03-12 22:45:44|app||1
1245540518330|applyJob|5421008|3707901||app||0
1245540518330|viewJob|6533610|3707901|2017-03-14 09:41:54|app||1
1245540518330|viewJob|6533644|3707901|2017-03-12 22:46:32|app||1
1245540518330|viewJob|6533627|3707901|2017-03-14 09:41:56|app||1
1245540518330|viewJob|6343956|11052709|2017-03-08 17:31:51|app||1
1245540518330|viewJob|5828744|11052709|2017-03-13 11:14:59|app||1
1245540518330|viewJob|6206405|3707901|2017-03-14 09:42:09|app||1
1245540518330|viewJob|5421008|3707901|2017-03-14 09:42:17|app||1
1245540518330|applyJob|6533627|3707901||app||0
1245540518330|applyJob|6533644|3707901||app||0
1245540518331|viewJob|8374152|28689155|2016-07-21 00:52:10|web|www.104.com.tw/job/|
1245540518331|saveJob|8374152|28689155|2016-07-21 00:52:15|web|www.104.com.tw/job/AjaxSaveJob|
1245540518331|applyJob|8374152|28689155||web|www.104.com.tw/jobbank/login/apply/job_send2_2011.cfm|
1245540518331|viewJob|8374152|28689155|2016-07-21 00:48:18|web|www.104.com.tw/job/|
1245540518331|viewJob|8147863|11456006|2016-07-16 23:25:43|web|www.104.com.tw/job/|
1245540518331|viewJob|8109082|20795246|2016-07-25 01:16:02|web|www.104.com.tw/job/|
1245540518331|viewJob|8268617|16450500|2016-07-06 23:26:13|web|www.104.com.tw/job/|
1245540518331|viewJob|7807812|51015548|2016-07-16 23:31:42|web|www.104.com.tw/job/|
1245540518331|viewJob|8260514|14089976|2016-07-21 01:43:21|web|www.104.com.tw/job/|
1245540518331|saveJob|8260514|14089976|2016-07-21 01:49:17|web|www.104.com.tw/job/AjaxSaveJob|
1245540518331|viewJob|8260514|14089976|2016-07-06 23:17:28|web|www.104.com.tw/job/|
1245540518331|viewJob|7608813|86517510|2016-07-21 00:43:51|web|www.104.com.tw/job/|
1245540518331|viewJob|8148436|5155853|2016-07-11 21:43:06|web|www.104.com.tw/job/|
1245540518331|viewJob|8148436|5155853|2016-07-11 21:44:53|web|www.104.com.tw/job/|
1245540518331|viewJob|8148436|5155853|2016-07-16 23:24:52|web|www.104.com.tw/job/|
1245540518331|viewJob|8370414|26320984|2016-08-01 22:21:12|web|www.104.com.tw/job/|
1245540518331|viewJob|8002981|84894313|2016-08-04 01:17:09|web|www.104.com.tw/job/|
1245540518331|saveJob|8002981|84894313|2016-08-04 01:18:21|web|www.104.com.tw/job/AjaxSaveJob|
1245540518331|viewJob|8198491|35894259|2016-08-03 12:50:09|web|www.104.com.tw/job/|
1245540518331|viewJob|8425786|4541302|2016-08-03 03:59:27|mobileWeb|m.104.com.tw/job/50ldm|
